zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
008,-64.80701844,17.99222775,18048,592,3.28
010,-72.57725724,42.264313643,57750,8960,15.52
011,-72.57419767,42.131430792,5400,720,13.33
014,-71.75670237,42.54165463,702,27,3.85
015,-71.84719026,42.244861741,5562,270,4.85
016,-71.90604889,42.282917632,969,76,7.84
017,-71.44660022,42.357245875,2464,96,3.9
018,-71.23776287,42.602830346,58760,3068,5.22
019,-70.89519782,42.610451718,69381,4563,6.58
020,-71.04068783,42.108503415,656,41,6.25
021,-71.1246124,42.345593916,17860,1140,6.38
024,-71.18557976,42.312408951,2132,164,7.69
025,-70.53692388,41.584134294,102,34,33.33
027,-71.07910649,41.745618617,6533,141,2.16
028,-71.53219215,41.669808056,47073,2627,5.58
029,-71.43633576,41.821614,19929,987,4.95
030,-71.43873844,42.908543558,16684,1161,6.96
031,-71.53084509,42.976072818,561,121,21.57
032,-71.64615568,43.519546773,2772,132,4.76
033,-71.56693325,43.29936925,88,32,36.36
034,-72.19008657,42.912103667,2070,150,7.25
037,-72.12601913,43.680089875,3104,352,11.34
038,-71.06945257,43.374798429,150304,11319,7.53
039,-70.71479927,43.196855455,1232,88,7.14
040,-70.50146312,43.80198189,125296,4264,3.4
041,-70.33385573,43.931254933,14355,345,2.4
042,-70.38073617,44.333166359,29312,832,2.84
043,-69.80867082,44.300143643,9268,476,5.14
044,-68.69215854,45.143268789,480031,40044,8.34
045,-69.59077669,43.948780111,2412,72,2.99
046,-68.0217861,44.54793613,197754,15042,7.61
047,-68.38052022,46.57856178,96450,5950,6.17
048,-69.10727317,44.118532,912,48,5.26
049,-69.65043993,44.760824686,126070,6230,4.94
050,-72.38867269,43.822800036,7315,220,3.01
053,-72.75140485,42.9451925,3172,234,7.38
054,-73.03745085,44.586195951,19703,1952,9.91
056,-72.57364318,44.329527182,6204,704,11.35
057,-73.03911896,43.636076478,5382,368,6.84
058,-72.1337126,44.66109228,2500,300,12
060,-72.79760432,41.856612132,5548,456,8.22
064,-72.80581565,41.412171493,4968,207,4.17
065,-72.92642191,41.348305273,198,33,16.67
066,-73.236958,41.2293918,3510,210,5.98
068,-73.41156434,41.226510894,26978,376,1.39
070,-74.22980274,40.760183489,317592,14080,4.43
071,-74.21613015,40.766659556,19602,1134,5.79
072,-74.27392144,40.665855889,2043,144,7.05
073,-74.06443192,40.728768583,1596,156,9.77
074,-74.29029905,41.034619818,33616,748,2.23
075,-74.22694123,40.956884,2156,132,6.12
076,-74.02242886,40.93155993,8385,602,7.18
077,-74.1190345,40.31544946,209400,5450,2.6
078,-74.75243384,40.941290517,18444,638,3.46
079,-74.5283044,40.751532725,17000,640,3.76
080,-74.98076113,39.819497533,1279260,51152,4
081,-75.0696669,39.9189033,9220,380,4.12
082,-74.70857629,39.26580161,34563,1066,3.08
083,-75.03031443,39.431897,70760,2600,3.67
084,-74.52857067,39.394977167,414,24,5.8
085,-74.65270626,40.282555342,35872,1178,3.28
086,-74.7117864,40.237610533,15210,660,4.34
087,-74.15634766,39.980224552,18299,1769,9.67
088,-74.62913368,40.534954042,300898,7810,2.6
089,-74.43500264,40.456146182,2464,110,4.46
100,-73.97685731,40.768848323,89652,9238,10.3
101,-73.97751212,40.768368391,3864,483,12.5
103,-74.14627007,40.586373071,1106,140,12.66
104,-73.87551933,40.848511222,8613,891,10.34
105,-73.77117885,41.187335541,805268,6660,0.83
106,-73.74965958,41.067926,2004,24,1.2
107,-73.868567,41.002250273,3003,121,4.03
108,-73.7912522,40.9221856,325,15,4.62
109,-74.17038915,41.274030118,17340,136,0.78
110,-73.65546386,40.754038036,560,28,5
111,-73.90940975,40.732855625,1584,192,12.12
112,-73.95397745,40.651061283,104622,15529,14.84
113,-73.83590109,40.732017029,7630,980,12.84
114,-73.80700158,40.684823871,2976,403,13.54
115,-73.63804129,40.716193672,10788,1102,10.22
116,-73.84294213,40.610088625,120,32,26.67
117,-73.19856323,40.813449471,3480,87,2.5
118,-73.470823,40.7759512,40,10,25
120,-73.94040706,42.68207775,2880,144,5
122,-73.92296153,42.629762216,459,51,11.11
124,-74.21060879,42.076832631,147756,2100,1.42
125,-73.87200038,41.767400156,654885,6853,1.05
126,-73.9767934,42.3336348,11290,155,1.37
127,-74.75012305,41.742919045,2706,132,4.88
129,-73.92649415,44.522920013,13575,600,4.42
130,-76.18398139,42.989158964,17920,1568,8.75
131,-76.24766147,43.040432772,11286,1254,11.11
132,-76.16642754,43.045532893,8120,616,7.59
133,-75.23576405,43.165335877,627,114,18.18
136,-75.54089676,44.275429681,3367,273,8.11
137,-75.51966198,42.262830041,4459,392,8.79
138,-75.55346143,42.328561587,2070,92,4.44
139,-75.79483683,42.278707833,282,18,6.38
140,-78.60839052,42.809898299,268,134,50
145,-77.48708933,42.953566063,63,63,100
146,-77.64813548,43.221141717,92,46,50
148,-77.11473551,42.309112756,40344,4756,11.79
149,-76.79661767,42.112602667,3246,366,11.28
150,-80.0585596,40.45121813,16093,1001,6.22
151,-79.92929724,40.426956848,1320,33,2.5
152,-80.00114249,40.439879333,4758,156,3.28
153,-80.16559708,40.037104305,944,59,6.25
154,-79.74519524,39.957624107,15600,225,1.44
156,-79.52754805,40.328214911,3239,237,7.32
157,-79.0307245,40.728632379,10758,66,0.61
160,-79.8872914,40.926109791,21543,3053,14.17
161,-80.34843267,41.153317844,15435,360,2.33
163,-79.57380616,41.570275118,6222,153,2.46
