"","time","state","county","GEOID","NAME","PCTUI_PT"
"1","2017","01","001","01001","Autauga County, AL","8.7"
"2","2017","01","003","01003","Baldwin County, AL","11.3"
"3","2017","01","005","01005","Barbour County, AL","12.2"
"4","2017","01","007","01007","Bibb County, AL","10.2"
"5","2017","01","009","01009","Blount County, AL","13.4"
"6","2017","01","011","01011","Bullock County, AL","11.4"
"7","2017","01","013","01013","Butler County, AL","11.2"
"8","2017","01","015","01015","Calhoun County, AL","11.9"
"9","2017","01","017","01017","Chambers County, AL","11.9"
"10","2017","01","019","01019","Cherokee County, AL","11.2"
"11","2017","01","021","01021","Chilton County, AL","13.8"
"12","2017","01","023","01023","Choctaw County, AL","11.3"
"13","2017","01","025","01025","Clarke County, AL","11.9"
"14","2017","01","027","01027","Clay County, AL","13.9"
"15","2017","01","029","01029","Cleburne County, AL","13.3"
"16","2017","01","031","01031","Coffee County, AL","12.0"
"17","2017","01","033","01033","Colbert County, AL","9.7"
"18","2017","01","035","01035","Conecuh County, AL","12.0"
"19","2017","01","037","01037","Coosa County, AL","13.0"
"20","2017","01","039","01039","Covington County, AL","12.1"
"21","2017","01","041","01041","Crenshaw County, AL","12.3"
"22","2017","01","043","01043","Cullman County, AL","12.7"
"23","2017","01","045","01045","Dale County, AL","9.7"
"24","2017","01","047","01047","Dallas County, AL","10.4"
"25","2017","01","049","01049","DeKalb County, AL","17.3"
"26","2017","01","051","01051","Elmore County, AL","8.7"
"27","2017","01","053","01053","Escambia County, AL","14.4"
"28","2017","01","055","01055","Etowah County, AL","12.5"
"29","2017","01","057","01057","Fayette County, AL","11.5"
"30","2017","01","059","01059","Franklin County, AL","15.3"
"31","2017","01","061","01061","Geneva County, AL","14.1"
"32","2017","01","063","01063","Greene County, AL","11.4"
"33","2017","01","065","01065","Hale County, AL","10.6"
"34","2017","01","067","01067","Henry County, AL","12.2"
"35","2017","01","069","01069","Houston County, AL","11.1"
"36","2017","01","071","01071","Jackson County, AL","13.1"
"37","2017","01","073","01073","Jefferson County, AL","10.0"
"38","2017","01","075","01075","Lamar County, AL","11.5"
"39","2017","01","077","01077","Lauderdale County, AL","11.3"
"40","2017","01","079","01079","Lawrence County, AL","14.0"
"41","2017","01","081","01081","Lee County, AL","10.4"
"42","2017","01","083","01083","Limestone County, AL","11.0"
"43","2017","01","085","01085","Lowndes County, AL","10.8"
"44","2017","01","087","01087","Macon County, AL","10.6"
"45","2017","01","089","01089","Madison County, AL","9.4"
"46","2017","01","091","01091","Marengo County, AL","9.8"
"47","2017","01","093","01093","Marion County, AL","11.4"
"48","2017","01","095","01095","Marshall County, AL","15.6"
"49","2017","01","097","01097","Mobile County, AL","11.7"
"50","2017","01","099","01099","Monroe County, AL","12.8"
"51","2017","01","101","01101","Montgomery County, AL","11.0"
"52","2017","01","103","01103","Morgan County, AL","11.6"
